"Freq [MHz]","dB(S(1,1)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
860,-14.0783186498531,-0.0822394383576388,-0.0778423800195828,-0.0829232608976318,-0.0884581046330216,-0.0931182015728172,-0.0884868323056821
860.222222222222,-14.0834948180384,-0.0835641756497723,-0.0791447540895114,-0.084239657523843,-0.0905827169857552,-0.0952849748868469,-0.0903946009174766
860.444444444444,-14.0876842061059,-0.0849394329296142,-0.08050777202778,-0.0856067051146147,-0.0928705205382051,-0.0976002170474894,-0.0924316044281646
860.666666666667,-14.0908865631618,-0.0863667323177324,-0.0819343905162694,-0.0870265852663669,-0.0953362668467327,-0.100075642016809,-0.0946080694220723
860.888888888889,-14.0931030845217,-0.0878476385757803,-0.0834277187541291,-0.0885015897396774,-0.097995894498077,-0.102723716582304,-0.0969349158273669
861.111111111111,-14.0943361741016,-0.0893837653491023,-0.0849910207310194,-0.090034129234873,-0.100866495089186,-0.105557598106374,-0.0994237197263995
861.333333333333,-14.0945892360272,-0.0909767837404294,-0.0866277160589503,-0.0916267437302161,-0.103966212312287,-0.108591019158599,-0.10208663599438
861.555555555556,-14.0938664914406,-0.0926284338334175,-0.0883413790096156,-0.0932821147595727,-0.107314045537978,-0.111838099353463,-0.104936265516208
861.777777777778,-14.0921728169376,-0.0943405399085479,-0.0901357353631151,-0.0950030800927753,-0.110929520445773,-0.115313059167383,-0.107985447354738
862,-14.0895136014741,-0.0961150302362754,-0.0920146566403413,-0.0967926513850735,-0.11483217883379,-0.119029804021919,-0.111246951072848
862.222222222222,-14.0858946189466,-0.0979539624947183,-0.0939821512723623,-0.0986540354851253,-0.119040828255753,-0.12300133974672,-0.114733038593318
862.444444444444,-14.0813219139727,-0.0998595560421247,-0.0960423522666227,-0.100590660236396,-0.123572480852974,-0.127238973309017,-0.118454858927636
862.666666666667,-14.0758016986873,-0.101834232479805,-0.0981995009764169,-0.102606205777969,-0.128440902182953,-0.131751246670368,-0.122421633666732
862.888888888889,-14.0693402586313,-0.103880666169019,-0.100457926687586,-0.104704642550106,-0.133654689378563,-0.136542549009336,-0.126639587835029
863.111111111111,-14.0619438660466,-0.106001846615878,-0.102822021932967,-0.106890277440484,-0.139214810547728,-0.14161135688427,-0.131110582074086
863.333333333333,-14.0536186991142,-0.108201154911665,-0.105296213766589,-0.10916780977064,-0.145111573928963,-0.146948068495324,-0.135830411953103
863.555555555556,-14.0443707658896,-0.110482456710202,-0.107884931723894,-0.111542399120515,-0.151321068686977,-0.152532434253404,-0.140786763812597
863.777777777778,-14.0342058319136,-0.112850214537878,-0.110592573918865,-0.114019747320963,-0.157801242784708,-0.158330650104101,-0.1459568605972
864,-14.0231293507165,-0.115309622561984,-0.113423473754262,-0.116606197307303,-0.164487966025089,-0.164292281088708,-0.151304902689788
864.222222222222,-14.011146396723,-0.117866767284338,-0.116381871125794,-0.119308851914061,-0.17129166299474,-0.170347325225263,-0.156779512950517
864.444444444444,-13.9982616004072,-0.120528817971259,-0.119471893867564,-0.122135716088872,-0.1780953584273,-0.176403906404468,-0.162311530832501
864.666666666667,-13.9844790860061,-0.123304250965695,-0.12269755759092,-0.125095866389751,-0.184755182155808,-0.182347274623158,-0.167812653651124
864.888888888889,-13.9698024127033,-0.126203112330359,-0.126062795059895,-0.128199651968211,-0.191104413079294,-0.188040938842793,-0.173175559692296
865.111111111111,-13.9542345210275,-0.129237323507792,-0.129571529819241,-0.131458931473323,-0.196961859763333,-0.193330776621091,-0.178276208978461
865.333333333333,-13.9377776873733,-0.132421034794919,-0.133227812840398,-0.134887350349431,-0.202144677247338,-0.198052751437907,-0.182978924674698
865.555555555556,-13.920433491184,-0.135771031320016,-0.137036045218457,-0.13850066270404,-0.206484636343256,-0.202044340083762,-0.187144535980589
865.777777777778,-13.9022028016567,-0.139307195718665,-0.14100131395512,-0.142317101081728,-0.209845636454476,-0.20515893037538,-0.190641283102803
866,-13.8830857941301,-0.143053030576322,-0.145129870814283,-0.146357795770139,-0.212139327584213,-0.207281444959649,-0.193357416485851
866.222222222222,-13.8630820110342,-0.147036241523647,-0.149429784982549,-0.150647242196118,-0.213335559772118,-0.208342594352242,-0.19521366392451
866.444444444444,-13.8421904890418,-0.151289377984571,-0.15391179723823,-0.155213809800683,-0.213465256082103,-0.208328851805538,-0.196173281956493
866.666666666667,-13.8204099837694,-0.155850521966245,-0.158590394560365,-0.160090277400121,-0.212615018082757,-0.207285754109681,-0.196247521001436
866.888888888889,-13.7977393373317,-0.16076400437679,-0.163485107316675,-0.165314366795147,-0.210914722837851,-0.20531344217698,-0.195495108258368
867.111111111111,-13.7741780541357,-0.166081110790602,-0.168622003950919,-0.170929225865906,-0.208520844511325,-0.202555076650068,-0.194015604764647
867.333333333333,-13.7497271791793,-0.171860710838267,-0.174035318155178,-0.176983781129879,-0.205598770700985,-0.199180302757823,-0.191937813805008
867.555555555556,-13.7243906145531,-0.178169702407166,-0.179769088916716,-0.183532832947162,-0.202306970033653,-0.195366787941317,-0.189405361454098
867.777777777778,-13.6981770690081,-0.185083096549482,-0.185878623070436,-0.190636697910867,-0.198784858266512,-0.191282837350472,-0.186561871181789
868,-13.6711029191779,-0.192683472160239,-0.192431501873407,-0.198360104819395,-0.195145079012805,-0.187073395090704,-0.183537833691692
868.222222222222,-13.643196377722,-0.201059390160409,-0.199507746443818,-0.206769915272616,-0.191470022782223,-0.182850755241001,-0.180440578702859
868.444444444444,-13.6145035220919,-0.210302164734666,-0.207198630387719,-0.215931063085079,-0.187811901781827,-0.17869040046837,-0.177348003065261
868.666666666667,-13.5850969432642,-0.220500140532997,-0.215603481492295,-0.225899895520904,-0.184195541023244,-0.174631738189768,-0.174306130476553
868.888888888889,-13.555088019198,-0.231729336511172,-0.22482365378558,-0.236713888286418,-0.180623105403279,-0.170683091361468,-0.171330246318911
869.111111111111,-13.5246440608465,-0.244039053016853,-0.234952699233139,-0.248376584709772,-0.1770801112813,-0.166829986095243,-0.168409199025188
869.333333333333,-13.4940116972365,-0.25743095370081,-0.246061684931752,-0.26083676266875,-0.173542162738835,-0.163045446772045,-0.16551234661741
869.555555555556,-13.463547572633,-0.271830533360104,-0.258178715106851,-0.273961583693842,-0.16998186211764,-0.159300678440777,-0.162598428691521
869.777777777778,-13.4337561276769,-0.28705126936589,-0.2712622573674,-0.287505289084106,-0.166375290226911,-0.155574352817579,-0.159625329225095
870,-13.4053308468764,-0.302754772476164,-0.285169179476519,-0.301078335481845,-0.162707401388936,-0.151858929767016,-0.15655936707614
870.222222222222,-13.3791882586691,-0.318415356475955,-0.299620847651623,-0.314126716144717,-0.158975717394581,-0.148163121164581,-0.153382613445305
870.444444444444,-13.3564716181625,-0.33330407956509,-0.31417435911198,-0.325936321551369,-0.155191891783058,-0.144510571352718,-0.150096981315813
870.666666666667,-13.3384845065479,-0.346512678490016,-0.328210367095518,-0.335679135739444,-0.151381046681709,-0.140935731200562,-0.146724497745902
870.888888888889,-13.3265024189538,-0.357036240126999,-0.340952006812491,-0.342511651889595,-0.147579179515571,-0.137478402209748,-0.143304067286476
871.111111111111,-13.3214261210811,-0.363918534321779,-0.351527642524628,-0.345717559211078,-0.14382927376186,-0.134178398380556,-0.139885828574328
871.333333333333,-13.3233166232154,-0.366435097667398,-0.35908000469288,-0.344860705881863,-0.140176919223475,-0.131071343563078,-0.136524602320431
871.555555555556,-13.3309896772693,-0.36425887897779,-0.362905794270843,-0.339895665397386,-0.136666211793518,-0.12818604864678,-0.133273834961333
871.777777777778,-13.3419540206909,-0.357544352691597,-0.362590106994109,-0.331189708142129,-0.133336498510838,-0.125543425350569,-0.130180987850492
872,-13.3528837330641,-0.346893270497386,-0.358091864108348,-0.319444641903231,-0.130220250292127,-0.123156603182133,-0.127284748310286
872.222222222222,-13.3604857037908,-0.333216481840348,-0.349749329977649,-0.305549915790082,-0.127342076271286,-0.12103182137043,-0.124613958271152
872.444444444444,-13.362324945679,-0.317548207868981,-0.338204806968235,-0.290421909802674,-0.124718702808601,-0.119169705548429,-0.122187872494169
872.666666666667,-13.3572158991232,-0.300876725830638,-0.324277739337844,-0.274877280095226,-0.1223596463849,-0.117566638163162,-0.120017269462241
872.888888888889,-13.3451184397839,-0.284031850323006,-0.308828840614264,-0.259562243190465,-0.120268298527128,-0.116216039695598,-0.118105983216978
873.111111111111,-13.3267536488204,-0.267637105085796,-0.292650582461188,-0.244934290183055,-0.11844318272239,-0.115109467348523,-0.11645253281457
873.333333333333,-13.3031921087411,-0.252112104387312,-0.276400655004854,-0.23127937622488,-0.116879207902256,-0.114237500460784,-0.115051644308804
873.555555555556,-13.2755540824638,-0.237703503739633,-0.260577164389742,-0.218746094849173,-0.115568808591475,-0.11359041965847,-0.11389555921283
873.777777777778,-13.2448450261835,-0.224526097377866,-0.245524263704148,-0.207383185548181,-0.11450291618848,-0.113158705820203,-0.112975093611192
874,-13.2118929123273,-0.212602485868029,-0.231454777543098,-0.197172793687876,-0.113671744991149,-0.112933391771549,-0.112280455167062
874.222222222222,-13.177344495799,-0.201895922403819,-0.218478946985419,-0.18805659506319,-0.113065401283243,-0.112906299412898,-0.111801847508669
874.444444444444,-13.1416883482294,-0.192335005127754,-0.206632411466676,-0.179954664591534,-0.112674337046266,-0.113070191306098,-0.111529899806869
874.666666666667,-13.1052857864432,-0.183830963237041,-0.195900035926316,-0.172778218702662,-0.112489675112039,-0.113418860809446,-0.111455959490128
874.888888888889,-13.0684005562455,-0.176289046653473,-0.186234546246503,-0.166437694371611,-0.112503432842193,-0.113947179881178,-0.111572282032001
875.111111111111,-13.0312238132963,-0.169615586421488,-0.177570230637862,-0.160847516106245,-0.112708668984161,-0.114651119253659,-0.111872146148481
875.333333333333,-12.9938937681631,-0.163722054059256,-0.16983251809847,-0.155928632135998,-0.113099574743421,-0.115527752024055,-0.112349917006578
875.555555555556,-12.9565105448364,-0.158527134898232,-0.162944368834923,-0.151609616551623,-0.113671526266078,-0.116575248823284,-0.113001074887857
875.777777777778,-12.9191471583663,-0.153957542774405,-0.156830327819536,-0.147826893048218,-0.114421112155471,-0.117792870530767,-0.113822222444847
876,-12.8818575099428,-0.149948074212506,-0.151418934000881,-0.144524452047338,-0.115346146584676,-0.11918096288515,-0.114811080267098
876.222222222222,-12.8446821595547,-0.146441231298602,-0.146644012049185,-0.141653301320682,-0.116445676080645,-0.120740956185099,-0.115966477854045
876.444444444444,-12.8076524729183,-0.143386623955976,-0.142445229784968,-0.139170799927906,-0.117719986122451,-0.122475372479945,-0.117288345147486
876.666666666667,-12.7707935922303,-0.140740282122469,-0.138768190764236,-0.137039965294117,-0.119170612252909,-0.124387842133872,-0.118777708376403
876.888888888889,-12.7341265614501,-0.13846395549099,-0.135564246487995,-0.135228804469714,-0.12080035937286,-0.126483131345758,-0.120436692993744
877.111111111111,-12.6976698459932,-0.136524444500649,-0.132790151481466,-0.133709696178944,-0.122613332198342,-0.128767182071649,-0.122268535841566
877.333333333333,-12.6614404194217,-0.134892984938562,-0.130407641584588,-0.132458835295858,-0.124614979448742,-0.13124716579436,-0.124277608290992
