"Freq [MHz]","dB(S(1,1)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
860,-13.6107553287494,-1.21722010059385,-1.2282985211554,-1.16116507821921,-1.14299472627618,-1.13321034286456,-1.11076487380118
860.222222222222,-13.6497917549685,-1.12208825868505,-1.13477444887444,-1.06162707459825,-1.05548448704303,-1.04531025469952,-1.02912200741066
860.444444444444,-13.6879231877559,-1.03942791761164,-1.05160894839817,-0.976814108717155,-0.983677351259968,-0.971762185670429,-0.960630531343637
860.666666666667,-13.7250821237921,-0.968061425434866,-0.978344640490372,-0.905246583528531,-0.924632805326647,-0.910152217830792,-0.902908134978884
860.888888888889,-13.7611948016404,-0.906793192593693,-0.914367495386034,-0.845341654423878,-0.875913541315437,-0.858454966819516,-0.854045324745833
861.111111111111,-13.7961803097082,-0.854463733714473,-0.858963277465387,-0.795538118708759,-0.835534924848659,-0.814990525842678,-0.812511540739813
861.333333333333,-13.8299496324341,-0.809984773350347,-0.811365968217416,-0.754374763544496,-0.801898751627321,-0.778376021365406,-0.777078422007297
861.555555555556,-13.8624046738574,-0.772359600482987,-0.770796887593329,-0.7205329790475,-0.773726772049659,-0.747478745716091,-0.746758331115041
861.777777777778,-13.8934373252883,-0.74069257326396,-0.736494496762056,-0.692854192260139,-0.750000901678771,-0.721374071323554,-0.720755683310136
862,-13.9229286828055,-0.714191084028836,-0.707735694654896,-0.670340941114008,-0.729912452296254,-0.699309257335018,-0.698428687697019
862.222222222222,-13.9507485735062,-0.692162613783486,-0.683849869744659,-0.652148266407362,-0.712820463675351,-0.680673172835256,-0.679259413744744
862.444444444444,-13.9767556189242,-0.674008860426285,-0.66422712781426,-0.637570120512471,-0.698218242461235,-0.664971456734929,-0.66283046472319
862.666666666667,-14.0007981498247,-0.659218374981295,-0.648322081648039,-0.626023897014054,-0.685706905113608,-0.651806452418589,-0.648806891760368
862.888888888889,-14.0227163842243,-0.647358702740824,-0.635654441933392,-0.6170350081205,-0.674974733477644,-0.640861242649687,-0.636922289910921
863.111111111111,-14.0423463773709,-0.638068696453606,-0.625807452008699,-0.610222622514478,-0.665781302658607,-0.631887180845256,-0.626968276213961
863.333333333333,-14.0595263229377,-0.631051431224786,-0.618425003652594,-0.605287144873924,-0.657945541436282,-0.624694422382863,-0.618786764521896
863.555555555556,-14.0741057850931,-0.626067987176037,-0.613208080853034,-0.601999691664603,-0.651337095625618,-0.619145081024999,-0.612264631673863
863.777777777778,-14.085958306743,-0.622932258146211,-0.609911014457508,-0.600193631271187,-0.645870571834183,-0.615148760758375,-0.607330523262911
864,-14.0949974893052,-0.621506876314188,-0.608337894660755,-0.599758159690159,-0.641502444982746,-0.612660338693711,-0.603953681591933
864.222222222222,-14.1011959969964,-0.621700297971259,-0.608339375648399,-0.600633836036796,-0.638230627973845,-0.611679997796969,-0.602144795260531
864.444444444444,-14.1046059737512,-0.623465057672594,-0.609810006719048,-0.602809969125519,-0.63609694030739,-0.612255621853931,-0.601958960326737
864.666666666667,-14.1053781564186,-0.626797143611135,-0.612686118900291,-0.606323685363395,-0.635192986927516,-0.61448774592745,-0.603500875005186
864.888888888889,-14.1037757888659,-0.631736339111794,-0.61694415574669,-0.611260354958725,-0.635670265815628,-0.618537240998099,-0.60693228028563
865.111111111111,-14.1001787584563,-0.638367147659674,-0.622599111108871,-0.617754694139555,-0.63775560332002,-0.624635648696756,-0.612481214500578
865.333333333333,-14.0950737709319,-0.646819451201954,-0.629702337677426,-0.625991085027448,-0.641773045373267,-0.633097219562008,-0.620451446377675
865.555555555556,-14.0890282908286,-0.657267125218942,-0.638337267879966,-0.636200079490671,-0.648172438191048,-0.644329474276766,-0.631227602661733
865.777777777778,-14.0826493439322,-0.669921070732846,-0.648610296888273,-0.648645030958538,-0.657561297038579,-0.658833900122212,-0.645265295461236
866,-14.0765323064651,-0.685009926128263,-0.660631853315589,-0.663587397821798,-0.670725663002236,-0.677177198058974,-0.66304310243041
866.222222222222,-14.0712080841991,-0.702736341792263,-0.674479127934289,-0.681210704825432,-0.688597461525425,-0.699891758966659,-0.684931379056702
866.444444444444,-14.0670981939125,-0.723188839480343,-0.690127060543427,-0.70147282227884,-0.712063297000502,-0.727229207583623,-0.710904386814659
866.666666666667,-14.0644855533072,-0.746181304262808,-0.70732991673014,-0.72385366686068,-0.741405685958575,-0.758659647478916,-0.740017808046064
