"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
860,-1.24271899919202,-1.60751441324131,-1.96577905813959,-1.27179977848124,-1.54225607059034,-1.46298019518238,-1.18370405002345,-1.20723108196128,-1.18222877145514,-1.13556724870018,-1.10886066683561,-1.12552180653516
860.222222222222,-1.26058347617362,-1.62942625358789,-1.98900939779012,-1.28464414931456,-1.55673243926628,-1.47799900671551,-1.10259649315232,-1.12524650227451,-1.10128175541346,-1.07134742355293,-1.03706354658823,-1.05192644361416
860.444444444444,-1.27864082239565,-1.65201230811958,-2.01295088766173,-1.29766138495222,-1.57125852200759,-1.49284472586184,-1.03080333618228,-1.05155600657822,-1.02986526754066,-1.01385984308861,-0.973478973961266,-0.986670755835481
860.666666666667,-1.2968875395106,-1.67529626650398,-2.03762108109412,-1.31086133192287,-1.58584569527466,-1.5075174505148,-0.967487359535952,-0.985648749668997,-0.967046043818758,-0.962488732906045,-0.917251943132799,-0.928890591123413
860.888888888889,-1.31531977255254,-1.69930020193019,-2.06303115683158,-1.32425567346546,-1.60050789497903,-1.52202007880379,-0.911853842652673,-0.927017486365321,-0.911960305235238,-0.916676876376396,-0.867620812915843,-0.877815140762051
861.111111111111,-1.33393330587324,-1.7240437090888,-2.08918585388648,-1.33785835109694,-1.61526218335278,-1.53635912558327,-0.863159410631694,-0.875162430543726,-0.863816837983352,-0.875920427654289,-0.823908944141621,-0.832758570590832
861.333333333333,-1.35272356295048,-1.74954289557956,-2.11608348762224,-1.35168608490633,-1.63012944471511,-1.55054573232881,-0.820717119685982,-0.829594771814244,-0.821897186669641,-0.839764192176934,-0.785516692021653,-0.793112015013338
861.555555555556,-1.371685610986,-1.77580924071084,-2.1437160055768,-1.36575901579705,-1.64513524054964,-1.56459691214541,-0.783898694065295,-0.789839824925617,-0.785553850089104,-0.807797360729512,-0.751913929894096,-0.758336101314265
861.777777777778,-1.39081417135547,-1.80284835367622,-2.17206904747334,-1.38010149811015,-1.6603108615558,-1.57853707908434,-0.752134685913789,-0.755439800531896,-0.754207177492267,-0.779649681678616,-0.722633205459509,-0.727954099545639
862,-1.41010363713398,-1.83065868566794,-2.20112198329842,-1.39474307718589,-1.6756946231868,-1.59239991893403,-0.724913190622225,-0.725956198968836,-0.727341500058799,-0.754988056421651,-0.697263579691929,-0.70154574438276
862.222222222222,-1.42954809909569,-1.85923027640779,-2.23084791521507,-1.40971969342391,-1.6913334618637,-1.60623066653664,-0.701777623208703,-0.700971840614036,-0.704500898184239,-0.733513545345183,-0.675445165659347,-0.678741743726757
862.444444444444,-1.44914138177572,-1.88854364226016,-2.26121364248401,-1.42507516206792,-1.70728490171175,-1.62008886146391,-0.682323950902723,-0.680092556913133,-0.685284898235052,-0.714958775624002,-0.656864364632857,-0.65921896981026
862.666666666667,-1.46887709138331,-1.91856893637581,-2.29217960270521,-1.44086298572511,-1.7236194762748,-1.63405165783324,-0.666197684892695,-0.662948575117373,-0.669344309300249,-0.699085748154913,-0.641249786406756,-0.642696318663386
862.888888888889,-1.48874867756433,-1.94926552556735,-2.32369981686489,-1.4571485634292,-1.74042370582528,-1.64821776236928,-0.653090859461471,-0.649195637213075,-0.656377347231653,-0.685684049095456,-0.628368836818708,-0.628931220365936
863.111111111111,-1.50874951122331,-1.98058212740303,-2.35572187915792,-1.47401186381635,-1.75780374750012,-1.66271206319964,-0.642739167470443,-0.63851589952011,-0.646126145790948,-0.67456948234017,-0.618024955647017,-0.617716783412715
863.333333333333,-1.52887298082246,-2.01245762837716,-2.3881870444656,-1.49155062713578,-1.77588985019897,-1.67769098386091,-0.634919374470632,-0.630618664067855,-0.638373718785131,-0.665583153502124,-0.610055490029845,-0.608879559791242
863.555555555556,-1.54911260976861,-2.04482265638333,-2.42103047554103,-1.50988414541084,-1.79484175446817,-1.6933485433042,-0.629447095947567,-0.625240996036078,-0.632941408148618,-0.658591054469103,-0.604330189448152,-0.602277920760149
863.777777777778,-1.56946219766325,-2.07760190887278,-2.454181716876,-1.52915763257704,-1.81485517134963,-1.70992301054983,-0.626174988624954,-0.622148282811704,-0.629686825667346,-0.65348422141204,-0.600750303907424,-0.597801033573747
864,-1.58991598831032,-2.11071714872165,-2.48756546109045,-1.54954712221801,-1.83616943949569,-1.72770389544182,-0.624991370820122,-0.621134788322279,-0.62850226324877,-0.65017956915454,-0.599248250144311,-0.595368421080788
864.222222222222,-1.61046886742677,-2.1440906857186,-2.52110266457795,-1.5712646981794,-1.85907637381049,-1.74703879482212,-0.625819238729766,-0.622024248545007,-0.629313497591118,-0.648621541133091,-0.599787768970551,-0.594930059510944
864.444444444444,-1.63111659295452,-2.17764907976325,-2.55471205039887,-1.59456364352289,-1.88393014514812,-1.76833929577983,-0.628615569512316,-0.624670534934141,-0.632078832662841,-0.648784754175305,-0.602364407904341,-0.596466907123453
864.666666666667,-1.6518560606916,-2.21132674994593,-2.58831200716478,-1.61974274973266,-1.91115771424994,-1.79208470919386,-0.633370672192134,-0.62895837116396,-0.636788079412821,-0.650677851340874,-0.607005987248445,-0.599991625415919
