Freq [MHz],"dB(S(1,1)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
860,-13.61075533,-1.18370405,-1.207231082,-1.182228771,-1.135567249,-1.108860667,-1.125521807
860.2222222,-13.64979175,-1.102596493,-1.125246502,-1.101281755,-1.071347424,-1.037063547,-1.051926444
860.4444444,-13.68792319,-1.030803336,-1.051556007,-1.029865268,-1.013859843,-0.973478974,-0.986670756
860.6666667,-13.72508212,-0.96748736,-0.98564875,-0.967046044,-0.962488733,-0.917251943,-0.928890591
860.8888889,-13.7611948,-0.911853843,-0.927017486,-0.911960305,-0.916676876,-0.867620813,-0.877815141
861.1111111,-13.79618031,-0.863159411,-0.875162431,-0.863816838,-0.875920428,-0.823908944,-0.832758571
861.3333333,-13.82994963,-0.82071712,-0.829594772,-0.821897187,-0.839764192,-0.785516692,-0.793112015
861.5555556,-13.86240467,-0.783898694,-0.789839825,-0.78555385,-0.807797361,-0.75191393,-0.758336101
861.7777778,-13.89343733,-0.752134686,-0.755439801,-0.754207177,-0.779649682,-0.722633205,-0.7279541
862,-13.92292868,-0.724913191,-0.725956199,-0.7273415,-0.754988056,-0.69726358,-0.701545744
862.2222222,-13.95074857,-0.701777623,-0.700971841,-0.704500898,-0.733513545,-0.675445166,-0.678741744
862.4444444,-13.97675562,-0.682323951,-0.680092557,-0.685284898,-0.714958776,-0.656864365,-0.65921897
862.6666667,-14.00079815,-0.666197685,-0.662948575,-0.669344309,-0.699085748,-0.641249786,-0.642696319
862.8888889,-14.02271638,-0.653090859,-0.649195637,-0.656377347,-0.685684049,-0.628368837,-0.62893122
863.1111111,-14.04234638,-0.642739167,-0.6385159,-0.646126146,-0.674569482,-0.618024956,-0.617716783
863.3333333,-14.05952632,-0.634919374,-0.630618664,-0.638373719,-0.665583154,-0.61005549,-0.60887956
863.5555556,-14.07410579,-0.629447096,-0.625240996,-0.632941408,-0.658591054,-0.604330189,-0.602277921
863.7777778,-14.08595831,-0.626174989,-0.622148283,-0.629686826,-0.653484221,-0.600750304,-0.597801034
864,-14.09499749,-0.624991371,-0.621134788,-0.628502263,-0.650179569,-0.59924825,-0.595368421
864.2222222,-14.101196,-0.625819239,-0.622024249,-0.629313498,-0.648621541,-0.599787769,-0.59493006
864.4444444,-14.10460597,-0.62861557,-0.624670535,-0.632078833,-0.648784754,-0.602364408,-0.596466907
864.6666667,-14.10537816,-0.633370672,-0.628958371,-0.636788079,-0.650677851,-0.607005987,-0.599991625
864.8888889,-14.10377579,-0.640107121,-0.634804004,-0.64346092,-0.654348777,-0.613772375,-0.605548997
865.1111111,-14.10017876,-0.648877409,-0.642155566,-0.652143671,-0.659891592,-0.622753287,-0.613215057
865.3333333,-14.09507377,-0.659758796,-0.650992536,-0.662902725,-0.667454579,-0.634061751,-0.623093063
865.5555556,-14.08902829,-0.672842696,-0.661323114,-0.675811768,-0.677248425,-0.64781904,-0.635302847
865.7777778,-14.08264934,-0.688214219,-0.67317717,-0.69092806,-0.689550797,-0.664123947,-0.64995745
866,-14.07653231,-0.705914973,-0.686590378,-0.70825061,-0.704698016,-0.682995125,-0.66711682
866.2222222,-14.07120808,-0.725879248,-0.701571612,-0.7276505,-0.723042161,-0.704270724,-0.686703107
866.4444444,-14.06709819,-0.747831967,-0.718040153,-0.748763154,-0.744827298,-0.727448829,-0.708358241
866.6666667,-14.06448555,-0.771140916,-0.735712447,-0.770839617,-0.769897769,-0.751466557,-0.731231189
866.8888889,-14.06350483,-0.794636124,-0.753915717,-0.792579785,-0.797116664,-0.774466275,-0.75372041
867.1111111,-14.06415152,-0.816459814,-0.771326867,-0.81202691,-0.823467416,-0.79370361,-0.77329543
867.3333333,-14.06630514,-0.834092176,-0.785722556,-0.826679963,-0.843352778,-0.80587317,-0.786670955
867.5555556,-14.06976019,-0.844754601,-0.794021712,-0.834002794,-0.849690153,-0.808077683,-0.790649189
867.7777778,-14.07425855,-0.846278312,-0.793091003,-0.832332172,-0.838202127,-0.799203444,-0.783564606
868,-14.07951871,-0.83814196,-0.781470902,-0.821783607,-0.811907108,-0.780805073,-0.766476756
868.2222222,-14.08525917,-0.821993597,-0.760979681,-0.804490959,-0.779706273,-0.756650295,-0.743001994
868.4444444,-14.09121508,-0.801158417,-0.736386688,-0.783885213,-0.750184014,-0.731172812,-0.71775342
868.6666667,-14.09714863,-0.779421404,-0.713039121,-0.763484599,-0.727805096,-0.707980863,-0.694616286
868.8888889,-14.10285421,-0.759901261,-0.694607872,-0.745965037,-0.713406339,-0.689224143,-0.675928316
869.1111111,-14.1081599,-0.744554025,-0.68252865,-0.732866219,-0.706083414,-0.67574399,-0.662592599
869.3333333,-14.1129262,-0.734258775,-0.676687916,-0.724776698,-0.704514753,-0.667538102,-0.65458842
869.5555556,-14.11704341,-0.729162551,-0.676299307,-0.721684591,-0.707530531,-0.664194019,-0.651456794
869.7777778,-14.12042808,-0.729026972,-0.680470932,-0.723288586,-0.714261105,-0.665175276,-0.6526166
870,-14.12301936,-0.733474175,-0.688456617,-0.72920451,-0.724123091,-0.669973353,-0.657527136
870.2222222,-14.12477534,-0.742129009,-0.699723565,-0.739078705,-0.736763912,-0.678172785,-0.66575375
870.4444444,-14.12566973,-0.754688156,-0.713941916,-0.752639847,-0.752008129,-0.689469908,-0.676983562
870.6666667,-14.12568885,-0.770946912,-0.730951613,-0.769716781,-0.769816679,-0.703670725,-0.6910199
870.8888889,-14.124829,-0.79080503,-0.750729474,-0.790240397,-0.790259237,-0.720681581,-0.70777021
871.1111111,-14.12309422,-0.814264142,-0.773363715,-0.814239784,-0.813497188,-0.740499207,-0.727234161
871.3333333,-14.12049429,-0.841423401,-0.799036919,-0.841837891,-0.839774668,-0.763202939,-0.749494569
871.5555556,-14.11704298,-0.872476559,-0.828016482,-0.873249197,-0.869415733,-0.788950076,-0.774711939
871.7777778,-14.11275646,-0.907711988,-0.860651287,-0.908780497,-0.902826389,-0.817974657,-0.803122662
872,-14.10765173,-0.947516339,-0.897373641,-0.948835354,-0.940500761,-0.850589634,-0.835040757
