"Freq [MHz]","dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
860,-13.7639732583225,-1.26789643152988,-1.43180206819197,-1.5407320006653,-1.22596085392899,-1.41618814134028,-1.50319692936685,-1.17850365976061,-1.20343698605055,-1.20584230084048,-1.2169456995138,-1.18853652940757,-1.21709839996892
860.222222222222,-13.8130832439263,-1.28560762594944,-1.44971112192731,-1.56127015235703,-1.23785699834863,-1.42675398560109,-1.51602435695416,-1.09597764702647,-1.12681806419438,-1.1230299437683,-1.14663443231163,-1.11503434285647,-1.13659968629746
860.444444444444,-13.859718509877,-1.30355304525064,-1.46826635594541,-1.58242083714783,-1.25000242245762,-1.43774618743106,-1.52914969452158,-1.02260997755719,-1.05846533624462,-1.04964975541785,-1.08390327164664,-1.04980071216224,-1.06516290118886
860.666666666667,-13.9038713774505,-1.32172601641523,-1.48748795858785,-1.60419743074747,-1.26240021116645,-1.44916884357436,-1.54257929067637,-0.957665037617201,-0.997747913231693,-0.984883977268542,-1.02797817766079,-0.991968298418088,-1.001828193472
860.888888888889,-13.9455408845087,-1.34011882638909,-1.50739344267031,-1.62661155862912,-1.27505379876671,-1.46102650917207,-1.5563199037065,-0.900427996135085,-0.944052739764642,-0.92795096491021,-0.97817036562508,-0.940769655029488,-0.945743175445942
861.111111111111,-13.9847319919959,-1.35872269118098,-1.52799679253409,-1.64967271278904,-1.28796711962447,-1.47332436425766,-1.57037884490986,-0.850214108502379,-0.89679276046688,-0.878114035815909,-0.933867218530381,-0.895526053636548,-0.896152127886388
861.333333333333,-14.0214548032003,-1.37752774234852,-1.54930754738992,-1.67338787022199,-1.30114481083918,-1.48606843144205,-1.58476417195221,-0.806375443513698,-0.855412795818212,-0.834687051580883,-0.894524036538101,-0.855637434559409,-0.852385867715274
861.555555555556,-14.0557238154805,-1.39652303603055,-1.57132985633322,-1.69776113113467,-1.31459248402592,-1.49926586038965,-1.59948494867035,-0.768305429840554,-0.819393502694608,-0.797037424898838,-0.859656596241171,-0.820573434541142,-0.813852404628245
861.777777777778,-14.0875572256401,-1.41569659037815,-1.59406155441769,-1.72279339395699,-1.32831708915698,-1.51292529964855,-1.61455159321918,-0.735441613905073,-0.788253779866572,-0.764587163847134,-0.828834474229372,-0.789865421593902,-0.780028436129092
862,-14.1169763125145,-1.43503545788198,-1.61749332309849,-1.74848207716859,-1.34232740116815,-1.52705738301547,-1.62997634384583,-0.707266998468136,-0.761551949879638,-0.736812479325006,-0.801675078492438,-0.763099454628202,-0.750451679488396
862.222222222222,-14.144004923938,-1.4545258396491,-1.64160801024559,-1.77482088184506,-1.35663467047395,-1.54167536645932,-1.64577388153574,-0.683310297845604,-0.738886012239717,-0.713242395008988,-0.777838325381494,-0.739910080480756,-0.724714006372227
862.444444444444,-14.1686691004059,-1.47415324911572,-1.666380192309,-1.80179956172225,-1.37125349253067,-1.55679596345774,-1.66196216223047,-0.663145407233546,-0.719893223266864,-0.693456718888677,-0.75702189740508,-0.719974880177657,-0.702455325516634
862.666666666667,-14.1909968747316,-1.49390273299671,-1.69177606136656,-1.82940363140888,-1.38620297025838,-1.57244044243073,-1.67856352948437,-0.646390344563409,-0.704249218508041,-0.67708366461823,-0.738957016711481,-0.703009677698372,-0.683358146567774
862.888888888889,-14.2110182959826,-1.51375915754848,-1.71775371019243,-1.85761390819004,-1.40150826784426,-1.58863607110434,-1.69560620291719,-0.632705886726076,-0.691666856035345,-0.663797350909128,-0.723404669673894,-0.688764326512981,-0.667142750834733
863.111111111111,-14.2287657369208,-1.53370756871855,-1.7442638674974,-1.88640577097588,-1.41720268671635,-1.60541802079096,-1.71312627069929,-0.621794089876242,-0.681894923933127,-0.653315357928528,-0.710152218752329,-0.677018990362257,-0.653562889706361
863.333333333333,-14.2442745565477,-1.55373363609263,-1.77125110299536,-1.91574806542606,-1.43333043569824,-1.6228318807865,-1.73117035811728,-0.613396856869984,-0.674716822286395,-0.645396480035552,-0.699010338133889,-0.667580833812133,-0.642401926823681
863.555555555556,-14.2575842019087,-1.57382419410604,-1.79865547993563,-1.94560172020181,-1.44995031814634,-1.64093698169417,-1.74979920190861,-0.607294693809042,-0.669949297258954,-0.639838782120725,-0.689810209065428,-0.66028103360439,-0.633469333986286
863.777777777778,-14.2687398435143,-1.59396790275159,-1.82641458549593,-1.97591836780888,-1.46714061759796,-1.6598107887171,-1.76909243429483,-0.603305781236986,-0.667441269025762,-0.636478039110391,-0.682400908951076,-0.654972012037642,-0.626597441516094
864,-14.2777946422119,-1.61415607058953,-1.85446582322143,-2.00663951876163,-1.48500552327656,-1.67955470301216,-1.78915497292089,-0.601285471265037,-0.667072750684491,-0.635186609850889,-0.676646925042697,-0.651524776424926,-0.621638329724118
864.222222222222,-14.2848127350401,-1.63438373035315,-1.88274881380994,-2.03769697689636,-1.5036834799289,-1.70030169909579,-1.8101255205563,-0.601126304553428,-0.668753792453701,-0.635872759411011,-0.672425719089018,-0.649826221478911,-0.618460727585319
864.444444444444,-14.2898729931755,-1.65465116840054,-1.91120772790504,-2.06901504801988,-1.52335783376586,-1.72222631950475,-1.83218778889838,-0.60275861013512,-0.672423289287437,-0.638480383870482,-0.669625264397671,-0.64977621129727,-0.616946756375971
864.666666666667,-14.2930735326006,-1.67496637844454,-1.9397933721797,-2.10051463542326,-1.54426999942517,-1.74555761862299,-1.85558514032323,-0.606151685877638,-0.678047336147227,-0.642988984516619,-0.668141473207347,-0.651284201697423,-0.616988319490315
864.888888888889,-14.2945368312378,-1.69534960413145,-1.96846486973929,-2.13211869082343,-1.56673494684085,-1.77059563724909,-1.8806393134531,-0.611315417671816,-0.685616565288349,-0.649413541223116,-0.667875433614161,-0.654265091035663,-0.618482897000834
865.111111111111,-14.2944151098247,-1.71584308185888,-1.99719081590691,-2.16375800304757,-1.59115785487102,-1.7977317775151,-1.907773606133,-0.618301903712266,-0.695141496143907,-0.65780357308838,-0.668730387879959,-0.658633902849437,-0.621328462134571
865.333333333333,-14.2928953616845,-1.73653517922353,-2.02594984553541,-2.19537620994552,-1.61804892746253,-1.82747280326909,-1.93754003573847,-0.62720606002756,-0.706644289571785,-0.668240021720137,-0.670608418207388,-0.664298824087207,-0.625417214454011
865.555555555556,-14.2902030848768,-1.75762988197096,-2.05473061051363,-2.22693323028891,-1.64803016543944,-1.8604667036602,-1.97064806486854,-0.638163026418621,-0.720144328026926,-0.680827445195326,-0.673406877802303,-0.671152092355681,-0.630627857378169
865.777777777778,-14.286603434755,-1.77968382451652,-2.08353122753596,-2.25840682821663,-1.68182306407166,-1.89752566752644,-2.00798867427676,-0.651338003912872,-0.7356336762771,-0.695677073362562,-0.677014735632153,-0.679058337507028,-0.636816301513152
866,-14.2823982865292,-1.80456935833055,-2.11235830833725,-2.2897924862207,-1.72020041671336,-1.93963602963815,-2.05064090941953,-0.666900221192339,-0.753036825271708,-0.712873218286199,-0.681309216589023,-0.68784040830881,-0.643805055927108
866.222222222222,-14.2779177419235,-1.83877525716367,-2.14122572071904,-2.32110202364742,-1.76388166411918,-1.98793648780222,-2.09983798435811,-0.684966241572127,-0.772147841091095,-0.732411302914747,-0.686153430758546,-0.697263723868167,-0.65137232106569
866.444444444444,-14.2735051172039,-1.87349496313453,-2.17015324411174,-2.35236145077307,-1.8133565984344,-2.04363469165169,-2.15685827608396,-0.705488893004793,-0.792539091550628,-0.754091581263673,-0.691396081324349,-0.707022110775383,-0.659243059396496
866.666666666667,-14.2694955323549,-1.87883275898545,-2.19916527591321,-2.38360847191764,-1.86864716876216,-2.10782309804363,-2.22280049178238,-0.728061225475177,-0.813443516188532,-0.777353394860976,-0.696874735784748,-0.716731097239726,-0.667086098053787
866.888888888889,-14.2661898157297,-1.89136501619484,-2.22828971519459,-2.41488993071204,-1.92906719976623,-2.18116067706755,-2.29821896053806,-0.751617398853194,-0.833634308778237,-0.801053377360378,-0.70242433910883,-0.725938225709396,-0.674523216741575
867.111111111111,-14.2638271898832,-1.90956684839752,-2.25755710292691,-2.44625938060155,-1.99309738340871,-2.26343020961469,-2.3826580327166,-0.774085727627162,-0.851368166004468,-0.823250074019301,-0.707892305724729,-0.734162069627948,-0.681157048324351
867.333333333333,-14.2625614913519,-1.93003482745823,-2.28700004082332,-2.47777488355847,-2.05850514942353,-2.35308025482577,-2.47424026852901,-0.792233422277857,-0.864510108971497,-0.841171513960965,-0.713160265288594,-0.740968219048569,-0.686622458487713
867.555555555556,-14.2624458298596,-1.95169078686983,-2.31665285538265,-2.50949708858943,-2.12275051494371,-2.44699030533605,-2.56957372338567,-0.802172500738356,-0.870964148103681,-0.851649962991966,-0.718170185443446,-0.746077088465799,-0.690658818483866
867.777777777778,-14.2634292527359,-1.97417349217181,-2.34655143161585,-2.54148761046212,-2.18355185439674,-2.54074374238963,-2.66421336024054,-0.800869968349524,-0.869399791859336,-0.852192863588245,-0.722949612977746,-0.749475723011184,-0.693188458376804
868,-14.265366398314,-1.99735382114835,-2.37673312134069,-2.57380770997882,-2.23936774319774,-2.6295092057983,-2.75364354887527,-0.788047774408774,-0.859976063734553,-0.842315571968601,-0.72762851725611,-0.751486165180329,-0.694374819161748
868.222222222222,-14.2680381435939,-2.0211885504195,-2.40723663694859,-2.60651726474281,-2.28959825995598,-2.70924103221514,-2.83438213134186,-0.766821216310457,-0.844565636606037,-0.824163707705304,-0.732440533038313,-0.752747017466535,-0.694632051021283
868.444444444444,-14.271178935821,-2.04566905455419,-2.43810186896825,-2.63967401096627,-2.33448205959899,-2.77762764114573,-2.90468011210329,-0.742218782234091,-0.826218089664689,-0.801749057688994,-0.737705341596227,-0.75410168723352,-0.694572891491248
868.666666666667,-14.2745055880161,-2.07080060242743,-2.46936960457901,-2.67333303134876,-2.37481336192932,-2.83435503333598,-2.96455777829126,-0.718878733063854,-0.808167681443302,-0.77932550157407,-0.743795401383725,-0.756435593163571,-0.694908396935812
868.888888888889,-14.2777429130242,-2.09659297576463,-2.50108116249381,-2.70754646102196,-2.4116332748357,-2.8807006766318,-3.01532480130827,-0.699714938499635,-0.792989170906771,-0.760084480367468,-0.751096059107895,-0.760528098474424,-0.696334689866942
869.111111111111,-14.2806431814277,-2.1230558008442,-2.53327798766203,-2.74236338280843,-2.44599191833082,-2.91881410392651,-3.05893276162067,-0.685906578446552,-0.78225752381879,-0.74576258026637,-0.759970030003884,-0.766967190302489,-0.699443873799423
869.333333333333,-14.2829982852276,-2.15019604243962,-2.5660012624025,-2.77782988432782,-2.47880614583609,-2.95105325990391,-3.09743816562238,-0.677510321926783,-0.776649684976582,-0.736922834547524,-0.770734512580686,-0.776135801943035,-0.70467966217786
869.555555555556,-14.2846450634855,-2.17801656458222,-2.59929158961038,-2.81398925246661,-2.51079507695261,-2.97955712662624,-3.13267951063041,-0.674065174720844,-0.776239720349813,-0.733434907779196,-0.783653819339538,-0.78824857590325,-0.712336755153331
869.777777777778,-14.2854652013398,-2.20651523588745,-2.63318879302966,-2.85088228502332,-2.54246447760083,-3.00605722054137,-3.16614455984447,-0.674975973853361,-0.78079060299714,-0.734870336384748,-0.798945416382371,-0.803409690113692,-0.722589332176202
870,-14.2853814502396,-2.23568430101598,-2.66773186496467,-2.88854770458221,-2.57411745835532,-3.03185093072715,-3.19895897299908,-0.679700166652237,-0.789962565710917,-0.740744437534955,-0.816794624469002,-0.821669780788125,-0.73553151851477
870.222222222222,-14.2843518069666,-2.26550985071961,-2.70295907816869,-2.9270226655359,-2.6058807535006,-3.0578561925949,-3.2319336904351,-0.687816644164295,-0.803434972062103,-0.750636201523407,-0.837373078986482,-0.843071462982489,-0.751217259320993
870.444444444444,-14.2823629447705,-2.29597127721555,-2.73890826915499,-2.96634335142928,-2.6377458790276,-3.08469272655837,-3.26563062064626,-0.699037797850405,-0.82096632963037,-0.76423491421896,-0.860857382851541,-0.867681553741591,-0.769693311615221
870.666666666667,-14.2794237835538,-2.32704063255095,-2.77561729607677,-3.00654566623546,-2.66962825342211,-3.1127612155944,-3.30042595355765,-0.713199511827808,-0.842418021323428,-0.781350163976241,-0.887446097438396,-0.895612410502568,-0.791023890841271
870.888888888889,-14.2755597218005,-2.35868183338588,-2.81312467543315,-3.04766602960742,-2.70144183935425,-3.1423092142306,-3.33656307177862,-0.73024571075913,-0.867760012291467,-0.801906847742122,-0.91737461715008,-0.927036023122302,-0.815308146540502
871.111111111111,-14.270807775299,-2.39084969229333,-2.85147040712749,-3.08974229227933,-2.73317365134916,-3.17348176993872,-3.37419363219421,-0.750214363037389,-0.897069514631286,-0.825936253043658,-0.950928352885922,-0.962194207235825,-0.842692594652637
871.333333333333,-14.2652126819219,-2.42348882641939,-2.89069700532636,-3.13281479305001,-2.76493179568415,-3.20635863731498,-3.41340821149773,-0.77322728879262,-0.930528556347708,-0.853568294075327,-0.988455081589225,-1.00140749207239,-0.873380656031224
871.555555555556,-14.2588239234636,-2.4565326409704,-2.93085076125901,-3.176927582029,-2.79694614313002,-3.24098110007548,-3.45425875985883,-0.799484241778573,-0.968423454728303,-0.885026970283432,-1.03037746945636,-1.04508458523903,-0.907641110739037
871.777777777778,-14.2516935645694,-2.48990288615121,-2.9719832709355,-3.22212983383893,-2.8295236568528,-3.27737134517946,-3.4967750861634,-0.82926109926564,-1.01114767040243,-0.920629775656554,-1.07720679771836,-1.09373380079491,-0.945816892599476
872,-14.2438747963454,-2.52351088534561,-3.01415326151167,-3.26847746507748,-2.86298356105404,-3.31554686483924,-3.54097727922665,-0.862911897369349,-1.05920884348265,-0.960791300774424,-1.12955891714521,-1.14797757087797,-0.988335354532303
872.222222222222,-14.235421084074,-2.55726266893583,-3.05742873716524,-3.31603494495325,-2.89760233621289,-3.35553185785218,-3.58688561552772,-0.900874569091426,-1.11324061571408,-1.00603119918979,-1.18817349207047,-1.20857109155819,-1.03572097115055
872.444444444444,-14.2263858454196,-2.59107224399512,-3.1018894252441,-3.36487723323427,-2.93358494209692,-3.39736719660313,-3.63452921974316,-0.943680445196676,-1.17401991400633,-1.05698682079254,-1.25393770049923,-1.2764262450963,-1.08861140953396
872.666666666667,-14.2168226230815,-2.62489024776693,-3.14762941182,-3.41509167262164,-2.97106140338148,-3.44112025153712,-3.68395456066929,-0.991967817456322,-1.24249060880238,-1.11443105421624,-1.32791575466512,-1.35264217310202,-1.14777798143361
