Freq [MHz],"dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
860,-13.76397326,-1.267896432,-1.431802068,-1.540732001,-1.225960854,-1.416188141,-1.503196929
860.2222222,-13.81308324,-1.285607626,-1.449711122,-1.561270152,-1.237856998,-1.426753986,-1.516024357
860.4444444,-13.85971851,-1.303553045,-1.468266356,-1.582420837,-1.250002422,-1.437746187,-1.529149695
860.6666667,-13.90387138,-1.321726016,-1.487487959,-1.604197431,-1.262400211,-1.449168844,-1.542579291
860.8888889,-13.94554088,-1.340118826,-1.507393443,-1.626611559,-1.275053799,-1.461026509,-1.556319904
861.1111111,-13.98473199,-1.358722691,-1.527996793,-1.649672713,-1.28796712,-1.473324364,-1.570378845
861.3333333,-14.0214548,-1.377527742,-1.549307547,-1.67338787,-1.301144811,-1.486068431,-1.584764172
861.5555556,-14.05572382,-1.396523036,-1.571329856,-1.697761131,-1.314592484,-1.49926586,-1.599484949
861.7777778,-14.08755723,-1.41569659,-1.594061554,-1.722793394,-1.328317089,-1.5129253,-1.614551593
862,-14.11697631,-1.435035458,-1.617493323,-1.748482077,-1.342327401,-1.527057383,-1.629976344
862.2222222,-14.14400492,-1.45452584,-1.64160801,-1.774820882,-1.35663467,-1.541675366,-1.645773882
862.4444444,-14.1686691,-1.474153249,-1.666380192,-1.801799562,-1.371253493,-1.556795963,-1.661962162
862.6666667,-14.19099687,-1.493902733,-1.691776061,-1.829403631,-1.38620297,-1.572440442,-1.678563529
862.8888889,-14.2110183,-1.513759158,-1.71775371,-1.857613908,-1.401508268,-1.588636071,-1.695606203
863.1111111,-14.22876574,-1.533707569,-1.744263867,-1.886405771,-1.417202687,-1.605418021,-1.713126271
863.3333333,-14.24427456,-1.553733636,-1.771251103,-1.915748065,-1.433330436,-1.622831881,-1.731170358
863.5555556,-14.2575842,-1.573824194,-1.79865548,-1.94560172,-1.449950318,-1.640936982,-1.749799202
863.7777778,-14.26873984,-1.593967903,-1.826414585,-1.975918368,-1.467140618,-1.659810789,-1.769092434
864,-14.27779464,-1.614156071,-1.854465823,-2.006639519,-1.485005523,-1.679554703,-1.789154973
864.2222222,-14.28481274,-1.63438373,-1.882748814,-2.037696977,-1.50368348,-1.700301699,-1.810125521
864.4444444,-14.28987299,-1.654651168,-1.911207728,-2.069015048,-1.523357834,-1.72222632,-1.832187789
864.6666667,-14.29307353,-1.674966378,-1.939793372,-2.100514635,-1.544269999,-1.745557619,-1.85558514
864.8888889,-14.29453683,-1.695349604,-1.96846487,-2.132118691,-1.566734947,-1.770595637,-1.880639313
865.1111111,-14.29441511,-1.715843082,-1.997190816,-2.163758003,-1.591157855,-1.797731778,-1.907773606
865.3333333,-14.29289536,-1.736535179,-2.025949846,-2.19537621,-1.618048927,-1.827472803,-1.937540036
865.5555556,-14.29020308,-1.757629882,-2.054730611,-2.22693323,-1.648030165,-1.860466704,-1.970648065
865.7777778,-14.28660343,-1.779683825,-2.083531228,-2.258406828,-1.681823064,-1.897525668,-2.007988674
866,-14.28239829,-1.804569358,-2.112358308,-2.289792486,-1.720200417,-1.93963603,-2.050640909
866.2222222,-14.27791774,-1.838775257,-2.141225721,-2.321102024,-1.763881664,-1.987936488,-2.099837984
866.4444444,-14.27350512,-1.873494963,-2.170153244,-2.352361451,-1.813356598,-2.043634692,-2.156858276
866.6666667,-14.26949553,-1.878832759,-2.199165276,-2.383608472,-1.868647169,-2.107823098,-2.222800492
866.8888889,-14.26618982,-1.891365016,-2.228289715,-2.414889931,-1.9290672,-2.181160677,-2.298218961
867.1111111,-14.26382719,-1.909566848,-2.257557103,-2.446259381,-1.993097383,-2.26343021,-2.382658033
867.3333333,-14.26256149,-1.930034827,-2.287000041,-2.477774884,-2.058505149,-2.353080255,-2.474240269
867.5555556,-14.26244583,-1.951690787,-2.316652855,-2.509497089,-2.122750515,-2.446990305,-2.569573723
867.7777778,-14.26342925,-1.974173492,-2.346551432,-2.54148761,-2.183551854,-2.540743742,-2.66421336
868,-14.2653664,-1.997353821,-2.376733121,-2.57380771,-2.239367743,-2.629509206,-2.753643549
868.2222222,-14.26803814,-2.02118855,-2.407236637,-2.606517265,-2.28959826,-2.709241032,-2.834382131
