"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
860,-1.36426094582147,-1.63850614737243,-1.62713351659362,-1.33093896199333,-1.50652772471495,-1.54837388422994
860.222222222222,-1.38405780052913,-1.6604556221064,-1.64929953966284,-1.344346370331,-1.5176014202604,-1.56059387826935
860.444444444444,-1.40406179460692,-1.68308617344108,-1.67224012565397,-1.35804204284671,-1.52918495269404,-1.57332265490976
860.666666666667,-1.42424390432583,-1.70643912118058,-1.69597253017146,-1.37203816671576,-1.54128147231031,-1.58653948610615
860.888888888889,-1.44459027697897,-1.73055404230077,-1.72050778110218,-1.3863475904984,-1.55389102729119,-1.60022548711048
861.111111111111,-1.46509716890106,-1.75546668525157,-1.74584968491603,-1.40098370276815,-1.56701159933363,-1.61436395612868
861.333333333333,-1.4857672707121,-1.78120639018047,-1.77199397172007,-1.41596017705086,-1.58064023305163,-1.62894073342529
861.555555555556,-1.50660709896081,-1.80779306667802,-1.79892765352138,-1.43129048849671,-1.59477423880037,-1.64394461181964
861.777777777778,-1.52762516320721,-1.83523387088079,-1.82662866804683,-1.44698703903697,-1.60941246569678,-1.65936783644309
862,-1.54883067346529,-1.86351984254126,-1.85506587044599,-1.46305960360038,-1.62455666077232,-1.67520673988614
862.222222222222,-1.57023260868366,-1.89262290783458,-1.88419941676593,-1.47951257959849,-1.64021295089742,-1.69146257031786
862.444444444444,-1.59183901319322,-1.92249382612629,-1.91398155696929,-1.49634008325137,-1.65639350645025,-1.70814258588093
862.666666666667,-1.61365642308339,-1.9530618781291,-1.94435782361421,-1.51351708133685,-1.67311847028555,-1.72526150999647
862.888888888889,-1.63568934959631,-1.98423742506273,-1.9752685686072,-1.53098305798526,-1.69041826342673,-1.74284347079436
863.111111111111,-1.65793976409491,-2.01591905215703,-2.00665076914652,-1.54861143455121,-1.70833641130434,-1.76092458562494
863.333333333333,-1.68040654133356,-2.04800798048285,-2.03844000004739,-1.56615228193382,-1.72693307241876,-1.77955640049904
863.555555555556,-1.70308482698195,-2.08043336555398,-2.0705724580865,-1.58313113537921,-1.74628949540206,-1.79881045591348
863.777777777778,-1.72596530410025,-2.11319002522634,-2.10298692995085,-1.59872036712898,-1.7665136791158,-1.81878432483135
864,-1.74903334450278,-2.14637582583513,-2.13562662539503,-1.6119053970941,-1.78774755821387,-1.83960955157073
864.222222222222,-1.77226804859625,-2.18017897509258,-2.16844086315695,-1.62363145923453,-1.81017607031783,-1.86146199918111
864.444444444444,-1.79564120673811,-2.21474243282564,-2.20138672532123,-1.64250235343606,-1.83403845292412,-1.88457515694282
