"Freq [MHz]","dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
860,-13.6383853803882,-1.36426094582147,-1.63850614737243,-1.62713351659362,-1.33093896199333,-1.50652772471495,-1.54837388422994,-1.13190856880205,-1.18727345928939,-1.15931001633358,-1.1839532128637,-1.15209578236444,-1.17606005764357
860.222222222222,-13.6863586035993,-1.38405780052913,-1.6604556221064,-1.64929953966284,-1.344346370331,-1.5176014202604,-1.56059387826935,-1.05991404317938,-1.10448054666109,-1.07905735922426,-1.11111040111082,-1.07633859604865,-1.09664022730946
860.444444444444,-13.7315982934732,-1.40406179460692,-1.68308617344108,-1.67224012565397,-1.35804204284671,-1.52918495269404,-1.57332265490976,-0.996577314818856,-1.03123845369509,-1.00840451573041,-1.04645597639818,-1.00961015594118,-1.02656169663069
860.666666666667,-13.7741867221101,-1.42424390432583,-1.70643912118058,-1.69597253017146,-1.37203816671576,-1.54128147231031,-1.58653948610615,-0.940974194124193,-0.966647753003237,-0.946353258570806,-0.989090503877511,-0.950843196348332,-0.96474528605899
860.888888888889,-13.8142059720866,-1.44459027697897,-1.73055404230077,-1.72050778110218,-1.3863475904984,-1.55389102729119,-1.60022548711048,-0.892276687065847,-0.909873024046415,-0.891995966843177,-0.938221029404169,-0.899108713804093,-0.91024527587209
861.111111111111,-13.8517344242885,-1.46509716890106,-1.75546668525157,-1.74584968491603,-1.40098370276815,-1.56701159933363,-1.61436395612868,-0.849746932964467,-0.860146065652525,-0.844514017773788,-0.893149321986382,-0.853599167783679,-0.862234606633792
861.333333333333,-13.8868441112598,-1.4857672707121,-1.78120639018047,-1.77199397172007,-1.41596017705086,-1.58064023305163,-1.62894073342529,-0.812730490943127,-0.816766367970199,-0.803174026172543,-0.853261087762804,-0.813613350106329,-0.819991154013544
861.555555555556,-13.9195988835078,-1.50660709896081,-1.80779306667802,-1.79892765352138,-1.43129048849671,-1.59477423880037,-1.64394461181964,-0.780649455666924,-0.779099666340092,-0.76732279410445,-0.818016196981315,-0.778542943680559,-0.782885252520834
861.777777777778,-13.950053295922,-1.52762516320721,-1.83523387088079,-1.82662866804683,-1.44698703903697,-1.60941246569678,-1.65936783644309,-0.752995732540881,-0.746575220834947,-0.736381600833531,-0.786939905925363,-0.747860701205319,-0.75036851628874
862,-13.9782521091271,-1.54883067346529,-1.86351984254126,-1.85506587044599,-1.46305960360038,-1.62455666077232,-1.67520673988614,-0.7293246914985,-0.718682313558625,-0.709840281438722,-0.759615018234799,-0.721110123784301,-0.721963925776329
862.222222222222,-14.0042303104327,-1.57023260868366,-1.89262290783458,-1.88419941676593,-1.47951257959849,-1.64021295089742,-1.69146257031786,-0.709249338640201,-0.694966330861254,-0.687251403980861,-0.735674907504722,-0.697896493700134,-0.69725710153517
862.444444444444,-14.028013585024,-1.59183901319322,-1.92249382612629,-1.91398155696929,-1.49634008325137,-1.65639350645025,-1.70814258588093,-0.692435089173952,-0.675024697038917,-0.668224751764702,-0.714797310257312,-0.677879104703001,-0.675888658731785
862.666666666667,-14.04961920485,-1.61365642308339,-1.9530618781291,-1.94435782361421,-1.51351708133685,-1.67311847028555,-1.72526150999647,-0.678595187407479,-0.658502846391945,-0.652422241607187,-0.696698791657967,-0.660764529902306,-0.657547520758296
862.888888888889,-14.0690573459835,-1.63568934959631,-1.98423742506273,-1.9752685686072,-1.53098305798526,-1.69041826342673,-1.74284347079436,-0.667486794930669,-0.645090357805648,-0.639553354372122,-0.681129783077467,-0.646300766432445,-0.641965060938943
863.111111111111,-14.0863328913036,-1.65793976409491,-2.01591905215703,-2.00665076914652,-1.54861143455121,-1.70833641130434,-1.76092458562494,-0.658907752203307,-0.634517326219222,-0.62937111437319,-0.667870089036779,-0.634272093358201,-0.628909933343678
863.333333333333,-14.1014478201298,-1.68040654133356,-2.04800798048285,-2.03844000004739,-1.56615228193382,-1.72693307241876,-1.77955640049904,-0.652694007231468,-0.626551004297013,-0.621668624058531,-0.656724760203276,-0.624494471248958,-0.618183443132352
