Freq [MHz],"dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
860,-13.63838538,-1.364260946,-1.638506147,-1.627133517,-1.330938962,-1.506527725,-1.548373884
860.2222222,-13.6863586,-1.384057801,-1.660455622,-1.64929954,-1.34434637,-1.51760142,-1.560593878
860.4444444,-13.73159829,-1.404061795,-1.683086173,-1.672240126,-1.358042043,-1.529184953,-1.573322655
860.6666667,-13.77418672,-1.424243904,-1.706439121,-1.69597253,-1.372038167,-1.541281472,-1.586539486
860.8888889,-13.81420597,-1.444590277,-1.730554042,-1.720507781,-1.38634759,-1.553891027,-1.600225487
861.1111111,-13.85173442,-1.465097169,-1.755466685,-1.745849685,-1.400983703,-1.567011599,-1.614363956
861.3333333,-13.88684411,-1.485767271,-1.78120639,-1.771993972,-1.415960177,-1.580640233,-1.628940733
861.5555556,-13.91959888,-1.506607099,-1.807793067,-1.798927654,-1.431290488,-1.594774239,-1.643944612
861.7777778,-13.9500533,-1.527625163,-1.835233871,-1.826628668,-1.446987039,-1.609412466,-1.659367836
862,-13.97825211,-1.548830673,-1.863519843,-1.85506587,-1.463059604,-1.624556661,-1.67520674
862.2222222,-14.00423031,-1.570232609,-1.892622908,-1.884199417,-1.47951258,-1.640212951,-1.69146257
862.4444444,-14.02801359,-1.591839013,-1.922493826,-1.913981557,-1.496340083,-1.656393506,-1.708142586
862.6666667,-14.0496192,-1.613656423,-1.953061878,-1.944357824,-1.513517081,-1.67311847,-1.72526151
862.8888889,-14.06905735,-1.63568935,-1.984237425,-1.975268569,-1.530983058,-1.690418263,-1.742843471
863.1111111,-14.08633289,-1.657939764,-2.015919052,-2.006650769,-1.548611435,-1.708336411,-1.760924586
863.3333333,-14.10144782,-1.680406541,-2.04800798,-2.03844,-1.566152282,-1.726933072,-1.7795564
863.5555556,-14.11440432,-1.703084827,-2.080433366,-2.070572458,-1.583131135,-1.746289495,-1.798810456
863.7777778,-14.12520881,-1.725965304,-2.113190025,-2.10298693,-1.598720367,-1.766513679,-1.818784325
