"Freq [MHz]","dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
860,-13.7061884706908,-1.28644345299943,-1.57810468536265,-1.57342677905032,-1.26366645095309,-1.47421560720958,-1.58940914398304,-1.16815987620542,-1.20253826158668,-1.1770598630441,-1.18925854613589,-1.1610871168853,-1.18377044842623
860.222222222222,-13.7536874682682,-1.30478288819796,-1.59967262488164,-1.59543367381812,-1.27687435940756,-1.48849773347229,-1.60561915597872,-1.08858633210951,-1.11671282136898,-1.09050058536065,-1.11427923473892,-1.08835532589321,-1.10559701837927
860.444444444444,-13.7991356196469,-1.32331390308031,-1.62176488498879,-1.61795116000565,-1.29018306448399,-1.50284602574122,-1.62185703725218,-1.01852319850614,-1.04002342392686,-1.01432590481831,-1.04826723497039,-1.02343367142869,-1.03581367455552
860.666666666667,-13.842487957453,-1.34203772295113,-1.64439914355181,-1.6409949150334,-1.30359367826719,-1.51725018233533,-1.6381102421331,-0.956971729652718,-0.971825873035124,-0.947499789502163,-0.990310073743702,-0.965606928001576,-0.973628942147969
860.888888888889,-13.8837098687592,-1.36095550819708,-1.66759373959667,-1.66458098341717,-1.31710840505571,-1.53169996505691,-1.65436594972114,-0.903024303319667,-0.911468531728631,-0.889049432059238,-0.939568745049765,-0.914226154641004,-0.918328622013491
861.111111111111,-13.9227764283118,-1.38006834473362,-1.69136757084362,-1.68872563883787,-1.33073092570334,-1.54618553586668,-1.67061136057059,-0.855863259983775,-0.85830851733888,-0.838076871846638,-0.895277220159412,-0.868703380449271,-0.869268879081566
861.333333333333,-13.9596716290114,-1.39937723230361,-1.71573993009099,-1.71344518518693,-1.34446689286553,-1.5606979266822,-1.68683412531238,-0.814757341728998,-0.811724070571338,-0.793764466943117,-0.856740110072091,-0.828506505177294,-0.825869742976693
861.555555555556,-13.9943875188201,-1.41888306992288,-1.74073025984191,-1.73875567838272,-1.35832456755156,-1.57522968690651,-1.70302295180725,-0.779056686232465,-0.771123577008747,-0.75537600214868,-0.823329109943848,-0.793154467643389,-0.787609059115939
861.777777777778,-14.0269232519615,-1.43858663751026,-1.76635779943088,-1.76467254678417,-1.37231563527222,-1.58977576763489,-1.71916845301814,-0.748187073300669,-0.735951759903842,-0.722254849479438,-0.794478705524536,-0.762212711867931,-0.754016902571373
862,-14.0572840606334,-1.45848857237743,-1.79264109327976,-1.79121008391019,-1.38645624966119,-1.60433472019395,-1.73526431834346,-0.721643919980272,-0.705693557917871,-0.693820267078343,-0.769681498606078,-0.735288963116483,-0.724670448248669
862.222222222222,-14.0854801516551,-1.47858933874742,-1.81959732330887,-1.81838078343105,-1.40076836282537,-1.61891031084228,-1.75130891800987,-0.698986367143908,-0.679876165861466,-0.669562643891808,-0.748483409887078,-0.712029312411589,-0.699189277486569
862.444444444444,-14.1115255308097,-1.49888918775187,-1.8472414239379,-1.84619448395859,-1.41528141468706,-1.63351368426747,-1.76730748477526,-0.67983168690652,-0.65806966293382,-0.649038272598076,-0.73047894038361,-0.692114597433952,-0.677231091478934
862.666666666667,-14.1354367566375,-1.51938810433458,-1.87558493624265,-1.87465729154016,-1.43003446757336,-1.64816624695882,-1.78327506106526,-0.663850157963145,-0.63988659069465,-0.631864057515281,-0.715306613190366,-0.675257059158192,-0.65848779470748
862.888888888889,-14.1572316259392,-1.54008573601814,-1.90463456139164,-1.90377025325684,-1.44507888574277,-1.66290348798452,-1.79924045363195,-0.650760497512965,-0.624980778280957,-0.61771242994031,-0.702644672758227,-0.661197246227126,-0.642681905816467
863.111111111111,-14.1769277967362,-1.5609812963622,-1.93439038645057,-1.93352776920124,-1.46048166931278,-1.67778000794743,-1.81525150121251,-0.640325897282494,-0.613045648760497,-0.606306641820501,-0.69220708595578,-0.64970113219307,-0.629563248186347
863.333333333333,-14.194541363384,-1.58207343283339,-1.96484378336048,-1.96391575660072,-1.47632955246408,-1.69287608239698,-1.83138202936752,-0.632350681325259,-0.603812179292034,-0.597416530829087,-0.683739865480042,-0.640557403618046,-0.618905867121699
863.555555555556,-14.2100854171054,-1.6033600442343,-1.99597503076802,-1.99490962383854,-1.49273395701891,-1.70830613280295,-1.84774092974639,-0.626677578857392,-0.597046628270476,-0.590854786657928,-0.677017719552829,-0.633574868928474,-0.610505114410514
863.777777777778,-14.2235686602623,-1.62483802605666,-2.02775078465349,-2.02647217809558,-1.50983683844948,-1.72422949386743,-1.86448383485831,-0.623185579688102,-0.59254808242075,-0.58647368989494,-0.671841020561679,-0.628579928207636,-0.6041748335171
864,-14.2349942053609,-1.64650291200053,-2.06012163083183,-2.05855168027877,-1.52781734720805,-1.74086380837503,-1.88182781848676,-0.621788303954965,-0.590145811610622,-0.584162229797934,-0.668033078006688,-0.625414032233907,-0.599744569518124
864.222222222222,-14.2443587975577,-1.66834836470997,-2.09302008654247,-2.09108037077407,-1.54689901801646,-1.75850117671116,-1.90006935514032,-0.622432758721353,-0.589696342756019,-0.583843420907625,-0.665437696728937,-0.62393104476106,-0.597056717148584
864.444444444444,-14.2516528784746,-1.69036544592765,-2.12635956206548,-2.12397390450393,-1.56735684614672,-1.77752671928377,-1.91960528598085,-0.625098250730798,-0.591080068175468,-0.585471510509974,-0.663916999102772,-0.623994405623664,-0.595963508787279
864.666666666667,-14.2568621953076,-1.71254156199198,-2.1600349092214,-2.15713222329805,-1.58952306023803,-1.79843830225141,-1.94095556370314,-0.629795043637052,-0.594197077535985,-0.589028570923307,-0.663349489055557,-0.625473975319601,-0.59632373402312
864.888888888889,-14.2599720934355,-1.73485892974227,-2.1939252120519,-2.19044240981351,-1.61378961782261,-1.82186460880653,-1.96478482564875,-0.636562035538229,-0.598961734390527,-0.594519663246881,-0.66362833597976,-0.628242428230912,-0.597999078107659
865.111111111111,-14.2609762375745,-1.75729233447613,-2.22789934222269,-2.22378395100611,-1.64060445379226,-1.84857630378754,-1.99191712318272,-0.645462205561805,-0.605295298928445,-0.601965293422183,-0.664659857498226,-0.632171059799552,-0.600849976542537
865.333333333333,-14.2598922329632,-1.7798058519212,-2.26182444535223,-2.257036539141,-1.6704574651332,-1.879481725139,-2.02333437749979,-0.656573717770471,-0.613115630398735,-0.611389209188359,-0.666362181415123,-0.637124898088567,-0.604730921796269
865.555555555556,-14.2567871926224,-1.80234808974265,-2.29557693596992,-2.29009004388501,-1.703851533711,-1.9155948836659,-2.06014493049078,-0.669973233492386,-0.622322720890432,-0.622798698754081,-0.668664068903085,-0.642957088524007,-0.609485248845174
865.777777777778,-14.2518159688223,-1.82484542621395,-2.32905484832683,-2.32285566687406,-1.74125434473327,-1.95796121114291,-2.10350578049981,-0.685706072315365,-0.63277862630981,-0.636153576770134,-0.671503882996314,-0.649502693547964,-0.614939602466915
866,-14.2452719762055,-1.84719287433971,-2.36218972265078,-2.35527670185632,-1.78302943453768,-2.00752869622828,-2.15448442479558,-0.703735555933299,-0.644280526610749,-0.651319457030138,-0.674828688821081,-0.656572374079184,-0.620898593206798
866.222222222222,-14.2376429107731,-1.8692431245475,-2.39495587366726,-2.38733699547794,-1.82935077506481,-2.06496319452549,-2.21385868318788,-0.723862200309282,-0.65652666842387,-0.668001912974707,-0.67859347484691,-0.663946962450169,-0.627140620304596
866.444444444444,-14.2296495149148,-1.8907973897891,-2.42737511305368,-2.41906533933845,-1.88011417762833,-2.1304298025089,-2.28187873944938,-0.745605441495927,-0.669077642223108,-0.685663089236359,-0.682760488071081,-0.671374737545364,-0.633416485294574
866.666666666667,-14.2222284121175,-1.91160975448378,-2.45951581731691,-2.45053468811844,-1.93486842615638,-2.20339359651958,-2.35805041822119,-0.768052948355791,-0.68132082553489,-0.703434755204355,-0.687298680951709,-0.678574212264398,-0.63945315319862
866.888888888889,-14.2164152747585,-1.93143354799969,-2.49148643340345,-2.48185614487977,-1.99279403249308,-2.28251754431061,-2.44102486631551,-0.789715479841218,-0.692454299983911,-0.720064169814095,-0.692183274885173,-0.685246148951682,-0.644965570824344
867.111111111111,-14.2131171210723,-1.95015979773896,-2.52342470094349,-2.5131687580459,-2.05275164114103,-2.36572951923135,-2.52867133834796,-0.808483947434499,-0.701516064709264,-0.733956249604447,-0.697395455367389,-0.691098654149918,-0.649679294380946
867.333333333333,-14.2128392677223,-1.968082283284,-2.55548464816941,-2.54462697156249,-2.11340306156232,-2.45047972941795,-2.61835255336608,-0.821843950830568,-0.707487712602273,-0.743384340211168,-0.702922229703878,-0.695887493795527,-0.653365067538369
867.555555555556,-14.2155032630078,-1.98616750361006,-2.58782357914089,-2.57638782704076,-2.17338170329284,-2.53413070497683,-2.70733658439047,-0.827473103370578,-0.709486277221463,-0.746892242364603,-0.708756502371836,-0.699469162315704,-0.65588282164074
867.777777777778,-14.2204715050624,-2.00592721923044,-2.62059086185341,-2.60859972551803,-2.2314690378183,-2.614360304105,-2.79321657324351,-0.824120391966591,-0.707014348860023,-0.743783729240656,-0.714897460657816,-0.701856833914372,-0.65722713328941
868,-14.2267695438648,-2.02862914836825,-2.65391958957982,-2.64139390334786,-2.28673147693433,-2.68945567523976,-2.87421190566471,-0.812317730380656,-0.700180120615962,-0.734463690309157,-0.721351421058264,-0.703261807199703,-0.657560974556952
868.222222222222,-14.2333770650864,-2.05448956426359,-2.68792140903247,-2.67487902712545,-2.33858899111845,-2.75843269872577,-2.94928718676791,-0.794384608175083,-0.689771950915794,-0.720406484242718,-0.72813337510218,-0.70410081007472,-0.657223221274731
