"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
860,-1.28644345299943,-1.57810468536265,-1.57342677905032,-1.26366645095309,-1.47421560720958,-1.58940914398304
860.222222222222,-1.30478288819796,-1.59967262488164,-1.59543367381812,-1.27687435940756,-1.48849773347229,-1.60561915597872
860.444444444444,-1.32331390308031,-1.62176488498879,-1.61795116000565,-1.29018306448399,-1.50284602574122,-1.62185703725218
860.666666666667,-1.34203772295113,-1.64439914355181,-1.6409949150334,-1.30359367826719,-1.51725018233533,-1.6381102421331
860.888888888889,-1.36095550819708,-1.66759373959667,-1.66458098341717,-1.31710840505571,-1.53169996505691,-1.65436594972114
861.111111111111,-1.38006834473362,-1.69136757084362,-1.68872563883787,-1.33073092570334,-1.54618553586668,-1.67061136057059
861.333333333333,-1.39937723230361,-1.71573993009099,-1.71344518518693,-1.34446689286553,-1.5606979266822,-1.68683412531238
861.555555555556,-1.41888306992288,-1.74073025984191,-1.73875567838272,-1.35832456755156,-1.57522968690651,-1.70302295180725
861.777777777778,-1.43858663751026,-1.76635779943088,-1.76467254678417,-1.37231563527222,-1.58977576763489,-1.71916845301814
862,-1.45848857237743,-1.79264109327976,-1.79121008391019,-1.38645624966119,-1.60433472019395,-1.73526431834346
862.222222222222,-1.47858933874742,-1.81959732330887,-1.81838078343105,-1.40076836282537,-1.61891031084228,-1.75130891800987
862.444444444444,-1.49888918775187,-1.8472414239379,-1.84619448395859,-1.41528141468706,-1.63351368426747,-1.76730748477526
862.666666666667,-1.51938810433458,-1.87558493624265,-1.87465729154016,-1.43003446757336,-1.64816624695882,-1.78327506106526
862.888888888889,-1.54008573601814,-1.90463456139164,-1.90377025325684,-1.44507888574277,-1.66290348798452,-1.79924045363195
863.111111111111,-1.5609812963622,-1.93439038645057,-1.93352776920124,-1.46048166931278,-1.67778000794743,-1.81525150121251
863.333333333333,-1.58207343283339,-1.96484378336048,-1.96391575660072,-1.47632955246408,-1.69287608239698,-1.83138202936752
863.555555555556,-1.6033600442343,-1.99597503076802,-1.99490962383854,-1.49273395701891,-1.70830613280295,-1.84774092974639
863.777777777778,-1.62483802605666,-2.02775078465349,-2.02647217809558,-1.50983683844948,-1.72422949386743,-1.86448383485831
864,-1.64650291200053,-2.06012163083183,-2.05855168027877,-1.52781734720805,-1.74086380837503,-1.88182781848676
864.222222222222,-1.66834836470997,-2.09302008654247,-2.09108037077407,-1.54689901801646,-1.75850117671116,-1.90006935514032
864.444444444444,-1.69036544592765,-2.12635956206548,-2.12397390450393,-1.56735684614672,-1.77752671928377,-1.91960528598085
864.666666666667,-1.71254156199198,-2.1600349092214,-2.15713222329805,-1.58952306023803,-1.79843830225141,-1.94095556370314
864.888888888889,-1.73485892974227,-2.1939252120519,-2.19044240981351,-1.61378961782261,-1.82186460880653,-1.96478482564875
865.111111111111,-1.75729233447613,-2.22789934222269,-2.22378395100611,-1.64060445379226,-1.84857630378754,-1.99191712318272
865.333333333333,-1.7798058519212,-2.26182444535223,-2.257036539141,-1.6704574651332,-1.879481725139,-2.02333437749979
865.555555555556,-1.80234808974265,-2.29557693596992,-2.29009004388501,-1.703851533711,-1.9155948836659,-2.06014493049078
865.777777777778,-1.82484542621395,-2.32905484832683,-2.32285566687406,-1.74125434473327,-1.95796121114291,-2.10350578049981
866,-1.84719287433971,-2.36218972265078,-2.35527670185632,-1.78302943453768,-2.00752869622828,-2.15448442479558
